Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"ThoughtfulGiftsbyC:Birthday Gift for Her, Happy Birthday Box, Birthday Care Package for her, Women's Birthday Basket, Thinking of you Gift for Mom, Sister, Bff
sending hugs, care package for her, gifts for her, Comfort care package, birth flower gift, bff gifts, Get well package, Cancer care package, Birthday Gift Box, 30th Birthday Gift, 40th Birthday gift, 50th Birthday Gift, 60th Birthday Gift",681,517,0.8,5,$50.00,$250,16
"GiftCountyShop:Sending Love And Hugs Women Gift Box Hygge Gift For Her Congratulations Cozy Gift Box For Mom, Best friend, Sister Happy Birthday Gift
Gift box for women, gift for her, cozy gift basket, sympathy gift box, thank you gift box, hygge gift box, care package for her, self care package, gift box for friend, hygge gift, cozy gift, best friend gift, personalized gift",648,556,0.9,3,$80.30,$241,26
"TeachEliteDesigns:Christmas gift wrap, Nativity wrapping paper  Angel gift, gift for him, gift for her, gift bag, reason for the season gift paperbook cover
mermaid, christmas, secret santa, festive, stocking, filler, wrapping paper, gift wrap, xmas, gift for him, gift for her, baby gift, new baby",1252,568,0.5,11,$21.00,$231,20
"TheLonePeach:Funny Introverted Sticker, Social Gathering Survivor, Silly Goose, Homebody Sticker Gift for Her, Trendy Blue Stickers, Gift under 5
kindle sticker, Gift under 5, Silly Goose, Trendy Blue Stickers, Homebody Sticker, Gift for Her, Gathering Survivor, Funny Introverted, awkward social, anxiety social, rather be home, neurodivergent, goose stickers",404,982,2.4,50,$4.00,$200,179
"PapierDabeille:Golf Wrapping Paper, Golf Gift Wrap, Gift For Him, Father's Day, Golf Lover, Gift For Her, Golf Bag, Golfer Wrapping Paper, Golfer Gift
Golfer, Golfer Gift, GOlf Lover, Golf Wrapping Paper, Golf Gift Wrap, Golf Bag Gift, Golf Birthday, Golf Birthday Gift, Gift For Him, Father's Day, Gift For Her, Wrapping Paper Roll, Sports Gift",366,417,1.1,8,$21.99,$176,26
"JuliasTreasuresStore:Cozy Holiday Gift Box Her Birthday Gift Box For Dad Gift Box Friend Gift Loved One Miss You  Gift Long Distance Gift Brother Gift Box Sister
cozy holiday gift, gift box her, birthday gift, gift box dad, hygge gift box, gift box friend, friend gift, gift loved one, Miss you gift, long distance gift, gift brother, brother gift box, Birthday gift Dad",544,384,0.7,2,$85.00,$170,10
"Seamstressedshop:Starving Caterpillar 16 oz Frosted Cups, coffee cup, libbey cup, glass tumbler, cup with lid,Gamer Gift, Gift for Her, Anime Cup, Cozy Gamer
coffee cup, libbey cup, glass tumbler, cup with lid, Gamer Gift, Gift for Her, Anime Cup, Cozy Gamer, 16 oz Frosted Cups, pokemon, caterpie, pikachu",633,339,0.5,7,$23.00,$161,44
"OddityCartEarrings:Pronoun Earrings: Pride, She, Her, He, Him, They, Them, Gender, Identity, Laser Cut Acrylic, Gifts for Her/Him/Them
pride earrings, pride, rainbow flower, rainbow earrings, gift for her, pronoun, pronoun earrings, word earrings, words, she, her, gender, sex",942,397,0.4,13,$9.99,$130,44
"FoamPartyHatsInc:Spring Flowers Headband - Flower Crown - Flower Headband - Gift For Her - Flower Headpiece - Drag Queen headband - Foam Hair Accessory
Flower Crown, Flower Headband, Gift For Her, Flower Headpiece, Drag Queen headband, Roses Headband, Floral Headband, Foam Party Hats, Photo Booth Props, Headband For Women, Flower Girl Headband, crazy headband, Crazy Hat Day",1248,271,0.2,5,$21.99,$110,32
"PixiePartySupplies:Bridesmaid Tote Bag,Burlap Bags Personalized,Custom Jute Bag with ribbon,Bridesmaid Bags with Name,Gifts for Her,Beach Bag,Bridal Party Gift
Bridesmaid Bags, Gift Bag with Charm, Wedding, Bags With Name, Burlap Bag, Tote Bag, Custom Bag, Bridesmaid Gifts, Personalized Gifts, Beach Bag, Gifts for Her, Monogram Beach Tote, Party Favors",39,435,11.2,22,$4.80,$106,4
"TeachEliteDesigns:Christmas gift wrap, Mermaid wrapping paper Christmas Stocking Festive gift, gift for him, gift for her, gift bag, gift paperbook cover
mermaid, christmas, secret santa, festive, stocking, filler, wrapping paper, gift wrap, xmas, gift for him, gift for her, baby gift, new baby",1248,275,0.2,5,$20.10,$100,14
"GiftThatCounts:Grandma Gift Basket, Grandmother Gift Box, Personalized Birthday Gifts, Personalized Mug, Gift For Her, Birthday Gift Box, Send a Gift Box
husbands mom gift, mothers day, mother in law, mother gift box, gifts for her, mother in law gift, gift box, gift basket, mug gift, candle gift, grandma gift box, granny gift, nana gift",1702,218,0.1,2,$46.95,$94,0
"RusticZebraBoutique:Christmas Cardinal Box, Christmas Gifts For Mom, Best Gifts for Her, Spa Gift For Her, Holiday Basket, Giftable Accessories, Hostess Gift
Best Gifts for Her, Spa Gift For Her, Holiday Basket, Giftable Accessories, Hostess Gift, Christmas Box, Cardinal Box, Christmas Gifts, Gifts For Mom, Gifts For Sister, Christmas Basket, Holiday Gift Box, Winter Gift Box",168,144,0.9,1,$81.00,$81,6
"DesignedByLibi:White Coat Ceremony Gift for Her Custom Wrapping Paper White Coat Medical Student Personalized Gift for Him Pharmacist Gift Future Doctor
white coat ceremony, gift for her, gift for him, gift for women, wrapping paper, gift wrap paper, custom gift, personalized, physical therapy, medical student, pa white coat, pt white coat, phd white coat",434,189,0.4,3,$24.45,$73,3
