Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"WitchcraftByMarta:Anxiety Removal Spell | Get Rid Of Anxiety Ritual | Become Happy Person Spell | Negative Energy Removal | Increase Positivity | White Magic
depression spell, anxiety spell, anxiety removal, negativity removal, positivity spell, return t osender, curse removal, custom spell, whiet magic, sadness removal, happy spell, happiness spell, spell",347,1072,3.1,55,$4.08,$225,84
"HeyMorning:Anxiety Tracker Google Sheets Stress Tracker Spreadsheet Chronic Anxiety Management Template Anxiety Symptom Dashboard Mental Health Tracker
symptom tracker, symptom journal, symptom log, symptom diary, anxiety tracker, anxiety journal, anxiety log, Stress Tracker, Mood Tracker, Anxiety Worksheet, Chronic Anxiety, Mental Health, Trigger Tracker",265,1142,4.3,37,$5.98,$221,62
"HealingStonesForYou:Panic and Anxiety Relief Crystal Healing Set with optional Wood Dish | Crystal Gift Set | Crystals for Anxiety
Healing Stone Set, Housewarming Gift, Metaphysical Gifts, Healing Stones, Crystal Gift Sets, Crystal Healing Set, Healing Crystal Set, Healing Crystal Kit, Crystal Gifts, Intention Sets, Handmade Wood Dish, Intention Crystals, Crystals for Anxiety",2169,440,0.2,11,$13.00,$143,71
"CognicHealth:Grounding Techniques Print, Anxiety and Stress Relief, Breathing Exercises, Calm Down Mental Health, CBT, Mindfulness (DIGITAL PRINTABLE)
anxiety, mindfulness, psychology, mental health, self-care, cbt, relaxation, wall decor, grounding technique, breathing exercises, therapy worksheets, stress relief, depression",1554,698,0.4,36,$3.97,$143,71
"CreativeCellar:TT-12 // Anxiety Tracker Teeny Tiny Planner Stickers stress Mental health
planner sticker, labels stickers tags, stickers, erin condren, planner, calendar, life planner, agenda, Funny stickers, Tiny Stickers, Bullet Journal, Mental health, Anxiety tracker",995,718,0.7,37,$3.50,$130,58
"KennyClayCo:Book vase, Anxiety Gal, vintage pulp novel, pencil holder, planter, gift for introvert reader,
gift for reader, book lover, book vase, book pencil holder, vintage pulp novel, gift for graduate, back to school, librarian gift, girls who love books, vintage book decor, Anxiety Gal, don't worry, political gifts",37,305,8.2,6,$20.00,$120,43
"APComfortPrints:Anxiety University Honors Program Comfort Colors® Shirt, Mental Health T-Shirt, Funny Anxiety Tee, Gift for Introvert
counselor gift, depression gifts, psychologist gifts, therapy gift, school counselor, funny sweatshirt, gift for therapist, funny anxiety shirt, mental health shirt, college shirt, kind to your mind, womens mental health, serotonin shirts",98,262,2.7,4,$27.50,$110,24
"createthriveinspire:Anxiety Cards Calming Cards Coping Skills Cards Cue Cards for Anxiety Flash Cards for Anxiety Therapy Tool Printable Calm Down Techniques
therapy tools, coping skills, anxiety cards, calming corner, school counseling, therapy office, coping skills cards, calm down cards, calming cards, parent resources, flash cards anxiety, calm down corner, cue cards anxiety",581,583,1,30,$3.50,$105,10
"TheArtistIsMIA:Handmade Sew-On White on Black Punk Patches
Patches, Punk, Battle jacket, Patch pants, Patch, Canvas patch, Punk patch, sew-on, DIY",105,1339,12.8,29,$3.00,$87,279
"TaylucabeStickers:Your Anxiety is Lying to You Sticker | Mental Health Sticker | Feelings Sticker | Inspiring Sticker | Positive Thoughts Sticker
Inspiring Sticker, Feelings Sticker, Your Anxiety is, Lying to You Sticker, Mental Health, Positive Thoughts, Sticker, Mindfulness Sticker, anxious sticker, therapist sticker, anxiety disorder, trying my best, counselor sticker",336,463,1.4,23,$3.50,$80,59
"SacredRitualspells:Extreme Social Anxiety Relief Spell-Confidence Boosting Spell for Social Anxiety Relief,Boosting Charm for Overcoming Social Anxiety.
Anxiety Relief, Charisma Spell, Anxiety Spell, Communication Spell, Confidence Spell, Social Anxiety Spell, Incantation, Mental Health Spell, Peace of Mind, curse removal spell, obsession love spell, love spell",86,285,3.3,7,$10.00,$70,11
"CuteRiot:Cute Kitty Full of Rage & Anxiety Women's Tank Top - Anarchist Resist Shirt - Anti-Establishment Eat the Rich Anti-Fascist - Be Ungovernable
class warfare, eat the rich, be become, ungovernable, full of rage and, anxiety, women's womens, tank top shirt, cute retro vintage, kitsch kitty cat, resist resistance, I won't obey comply, USA America",61,170,2.8,3,$22.95,$69,25
"LittleFairyLab:My anxiety is chronic, but this ass is iconic- double-sided keychain- original art- sassy girl gift
stocking stuffer, anxiety gift, this ass is iconic, sassy keychain, mixed media keychain, funny girl gift, sassy girl, mom keychain, funny mom gift, sassy girl gift, sarcastic girl gift, original art gift, sarcastic keychain",884,320,0.4,10,$6.00,$60,21
"CrossStitchWow:Your anxiety is a lying hoe Cross stitch pattern PDF, Mental health Cute Happy meme, Kawaii Small cross stitch, Emotional support, Digital
cross stitch pattern, funny cross stitch, modern cross stitch, small cross stitch, counted cross stitch, embroidery pattern, cross stitch meme, mental health stitch, easy cross stitch, emotional support, anxiety lying hoe, cross stitch anxiety, anxious stitch",292,317,1.1,10,$6.00,$60,83
"SuccessInSocialWork:Kids Separation Anxiety Therapy Worksheets for Parents, therapists, counselors & social workers,therapy workbook,calming corner play therapy
therapy worksheets, counsellor cronan, social skills, social anxiety, therapy tools, therapy office decor, calm down corner, calming corner, social worker, school counselor, autism help, kids coping skills, separation anxiety",209,280,1.3,14,$2.98,$42,18
"ElioApparel:Retro Mental health t-shirt, Cute anxiety shirt, Mental health matters tee, Self care crewneck, Therapist gifts, Oversized frog sweatshirt
anxiety sweatshirt, be kind sweatshirt, counselor shirt, funny anxiety shirt, its okay to shirt, mental health matter, mental health shirt, oversized sweater, retro crewnecks, self care gifts, self love shirt, social worker shirt, therapist gifts",262,107,0.4,2,$19.99,$40,12
"BooksCatsTeaCrafts:Funny Corgi Butt Sticker: 'My Anxiety is Chronic, But This Ass is Iconic' | 3 Inch Sticker | Cute Corgi Sticker | Mental Health Sticker
corgi sticker, cute corgi, funny sticker, mental health, anxiety humor, dog butt, corgi butt, cute dog, wholesome humor, sassy sticker, adorable corgi, motivational humor, pet sticker",248,164,0.7,8,$4.95,$40,30
"KendallsFreshies:Running on Dr Pepper and Anxiety Freshies, Custom Freshies, Dr Pepper Freshies, Wholesale Freshies
dr pepper, dr pepper freshie, car freshies, wholesale freshies, dr pepper anxiety, freshies, western freshies",53,140,2.6,3,$12.00,$36,21
"Craftybutterflyvivi:cute retro smiley face metal ball point pens
retro pens, metal pents, cute pens, pen gift, custom pens, smiley pens, preppy pens",331,173,0.5,5,$7.00,$35,6
"ThunderAndGrace:Struggle Bus Sticker or Magnet, Funny Anxiety Sticker, Sarcastic Sticker, All My Systems Are Nervous, Mental Health Sticker, Therapy Sticker
gifts for teachers, kindle sticker, dumpster fire, emotional support, anxiety sticker, mental health, this little light, let it shine, sarcastic sticker, cool stickers, therapist gift, struggle bus, emotional kindle",36,171,4.8,8,$3.98,$32,32
"gratefultherapy:Social Anxiety and Anxiety Affirmation Cards, Positive Affirmations for Social Anxiety, Mindfulness Activity, Coping Cards, Selective Mutism
School Counselor, Counseling Resources, Teacher materials, Childhood anxiety, anxiety, social anxiety, selective mutism, therapy resources, coping cards, printable, affirmations, affirmation station, calm corner",797,179,0.2,9,$2.99,$27,15
"ModPopDeco:Your Anxiety is a Lying Hoe Sticker, Funny Anxiety Sticker, Mental Health Sticker, Holographic Sticker, Glitter Sticker, Vinyl Sticker
Funny Stickers, Holo Sticker, Glitter Sticker, Waterproof Vinyl, Weatherproof Vinyl, Anxiety Stickers, Groovy Retro Sticker, cute aesthetic, Kindle Sticker, Water bottle Sticker, Anxiety Lying Hoe",209,154,0.7,5,$5.00,$25,45
"DaysAndColours:Therapy Office Decor, School Counselor, Positive Affirmations, Anxiety Relief, Calming Corner, School Psychologist, CBT, Digital Download
mental health poster, school counselor, Therapy Office Décor, calming corner, Positive Thinking, Growth Mindset, feelings poster, school psychologist, positive affirmation, you are worthy, anxiety relief, cbt poster, social worker",44,120,2.7,3,$7.30,$22,15
"SuccessInSocialWork:Kids Separation Anxiety Therapy Worksheets for Parents, therapists, counselors & social workers,therapy workbook,calming corner play therapy
therapy worksheets, counsellor cronan, social skills, social anxiety, therapy tools, therapy office decor, calm down corner, calming corner, social worker, school counselor, autism help, kids coping skills, separation anxiety",52,150,2.9,7,$2.98,$21,9
"MissMandaArt:All Natural Candles | funny relatable art, custom art, anxiety relief, relaxation, joke, gift for a friend, gift for her, Miss Manda Art
art, funny, gift, citrus, pregnancy, mom, outdoors, masculine, feminine, anxiety, relaxation, de-stress, candle",371,75,0.2,1,$20.00,$20,0
"HafsaArtDigital:I Don't Struggle With Anxiety Svg, Coquette Mental Health Bow Svg Png, Mental Health Anxiety Svg, Sleeve Shirt Design, Gift For Her,Cut File
I Don't Struggle Svg, Mental Health Bow, Anxiety Svg Png, Sleeve Shirt Design, Gift For Her, Cut File For Cricut, Self Love, Mental Health Png, Trendy Svg, Stay Tomorrow Need, Silhouette, Sublimation, Digital Download",38,243,6.4,12,$1.59,$19,29
"DungBuii:Once You Get Past My Anxiety Awkwardness Dark Humor RBF Png, Unique Gift Idea Png, mother's day gilf, Father's day gilf
Witty Mental Health, Funny Quote, Anxiety Humor, Sarcastic, Anxiety Quote For, I don't struggle, Mental Health design, Anxiety Funny, Anxiety png Funny, Chronic Anxiety, Sayings for Shi, aniexty, funny",4,286,71.5,14,$0.76,$11,25
"DigitalCreationPlan:I Came I Saw I Had Anxiety So I Left Svg Png, Funny Shirt Svg, Mental Health Svg, Svg For Shirts, Instant Download, Trendy Shirt, Silhouette
Funny Shirt Svg, Mental Health Svg, Svg For Shirts, Svg File For Cricut, Instant Download, Trendy Shirt, Silhouette, Vector Files, Cut Files, Cricut, I Came I Saw, I Had Anxiety, So I Left Svg Png",264,47,0.2,1,$8.00,$8,2
"LittleMissDesignsxo:antisocial butterfly SVG, antisocial butterfly png, anxiety svg, antisocial svg, trendy, digital download
antisocial, butterfly, anxiety, png, svg, antisocial butterfly, cute, trendy",828,59,0.1,3,$2.00,$6,4
"CuteRiot:Cute Kitty Full of Rage & Anxiety Patch - Everything is Fucked Eat the Rich Anti-fascist Anarchist Anarchy Battle Jacket Resist Resistance
patch, iron on patch, cute retro vintage, be ungovernable, anarchist anarchy, everything is fucked, depression anxiety, antifascist, smash fascism, USA America, eat the rich, battle jacket vest, rage protest resist",9,21,2.3,1,$4.00,$4,8
"Grokrocks:Zen Sunshine Kit
Gift box, kit, zen, trendy, spiritual, vibes, positivity, self-help, meditation, crystals, sage, self care, health",1670,46,0,0,$60.00,$0,3
"LoveTheJunk:Cat stickers for anxiety stickers funny cat decals for best friends stickers funny anxiety stickers for friends with anxiety decals
funny stickers, funny decals, sarcastic stickers, best friend stickers, best friend decals, friendship stickers, stickers for friends, anxiety stickers, anxiety decals, funny anxiety gifts, gifts for anxiety, friends with anxiety, anxiety",144,16,0.1,0,$2.50,$0,2
"CrackpotDesignUS:Anxiety Repellent Shirt, Funny Mental Health T-Shirt, Positive Vibes Graphic Tee, Self Care Aesthetic Tee, Cute Anxiety Relief Comfort Shirt
Anxiety Shirt, Mental Health Tee, Self Care T Shirt, Funny Therapy Tee, Positive Vibes Tee, Cute Relaxing Shirt, Stress Relief Tee, Anxiety Support Tee, Trendy Casual Tee",32,2,0.1,0,$33.88,$0,2
"newcustomtee:Comfort Colors® I Don't Struggle With Anxiety Shirt, Mental Health T-shirts, Coquette Bow Anxiety Tee, Funny Therapist Tee, Gifts for Friend
therapy shirt, anxiety humor, funny anxiety shirt, introvert shirt, mental health tee, good vibes shirt, inspirational shirt, motivational shirt, social anxiety shirt, bow Anxiety Tee, Sarcastic Anxiety, coquette bow tee, gift for her",22,26,1.2,0,$26.58,$0,1
"JanatshieDigitalArts:Kawaii I Scream Because of Anxiety saying sticker svg Anxiety quote funny mental health quote printable png trendy design file printable
self love svg, self care svg, self love club, affirmations png, mental health png, printable quote, anxiety quotes, anxiety saying, cute stickers svg, sticker puns, cute ice cream, ice cream anxiety, funny mental health",1,0,0,0,$4.09,$0,0
"Pinkx8Icing:Once You Get Past My Anxiety Awkwardness Dark Humor RBF T-Shirt,Funny anxiety shirt,Funny quote shirt
Anxiety t-shirt, Awkwardness shirt, Dark humor t-shirt, Sarcastic t-shirt, RBF shirt, Sarcasm graphic tee, Delight t-shirt, Funny anxiety shirt, Sarcastic graphic, Dark humor shirt, Funny quote shirt, Social anxiety tee, RBF t-shirt",1,0,0,0,$18.70,$0,0
"KandKCustomTees:My Neck My Back My Anxiety Attack Shirt, Funny Mental Health Shirt, Trash Panda Shirt, Funny Racoon Tee, Gift For Racoon Lover, Meme Tee
baggy shirt, funny racoon shirt, racoon shirt, meme t shirt, oversize shirt, vintage graphic tee, funny t shirt, joke shirts, anxiety shirt, funny 90s meme, comfort colors tee, funny retro shirt, meme t-shirt",122,18,0.1,0,$36.99,$0,3
"InspiredImageryShop:Anxiety On Off Switch Cotton Washed Vintage Shirt, Mental Health Tee with Skeleton Hand, Psychology Student Positive Thought Gift
funny anxiety shirt, mental health shirt, social anxiety shirt, counselor gift, Kindness Shirt, Motivational Shirt, anxiety club, Psychologist shirt, psychologist gift, therapist tee, introvert gift, inspirational shirt, overthinking shirt",1,0,0,0,$10.33,$0,0
"The Science of Anxiety: A Holistic Approach to Calming Your Mind,instant download, tips on decreasing anxiety,calm your mind, achieve peace.
improve anxiety, The science of, quiet the mind, holistic ways, coping with anxiety, peaceful mind, Journey into life",2,8,4,0,$14.99,$0,0
"BerryRidgeCo:Everything will be ok- anxiety, panic Crewneck Sweatshirt funny mental health cute student gift college high school gift for anxious therapy
mental health, cozy shirt, panic first, Anxiety crewneck, funny shirt, homebody shirt, Sarcastic shirt, gift for a friend, everything is ok, anxiety, therapy shirt, gift for yourself, anxious shirt",378,13,0,0,$35.23,$0,3
"TheSelfHealthLine:Anxiety Sticker Funny Introvert Sticker Pack for Homebody Friend Laptop Decal for Anxious Coworker Small Gift Idea for Social Anxiety Humor
Anxiety Sticker, Sticker Funny, Funny Introvert, Introvert Sticker, Sticker Pack for, for Homebody Friend, Friend Laptop Decal, Decal for Anxious, Anxious Coworker, Coworker Small Gift, Gift Idea for Social, Social Anxiety Humor, Humor Anxiety",5,21,4.2,0,$20.00,$0,1
"BackDoorCustomsShop:Once You Get Past My Anxiety Awkwardness Dark Unisex Heavy Cotton Tee, Funny Graphic Shirt for Anxiety Awareness, Sarcastic Gift for Friends
Mother Day, Father Day Gift, Once You Get Past, Dark Humor RBF Shirt, Anxiety Awkwardness, I'm a Delight, Anxiety Shirt, Funny Saying tee, Sarcastic Shirt, gift for her, weird shirt, funny mental health, funny Saying",1,0,0,0,$15.00,$0,0
"LilBigDreams07:Anxiety Embroidery Design, Introvert Embroidery Files, Funny Embroidery Design, DST PES File for embroidery
machine embroidery, embroidery patterns, digital downloads, embroidery file, homebody embroidery, anxiety embroidery, introvert embroidery, anti social club, funny embroidery, mental health, positive embroidery",12,5,0.4,0,$1.99,$0,3
"MadebymissyTreasures:Anxiety shirt  Tshirt decorated by hand. Each shirt made to order.
t-shirt, handmade, handcrafted, be kind, funny shirt, sarcastic, anxiety, anxious, proud, mental health, do your best, coping, humor",1,0,0,0,$17.99,$0,0
