Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"LullabyMall:Personalized Bridal Shower Floral Napkins Bridal Shower Gift Cocktail Bridal Shower Decor Wedding Party Bridal Shower Monogram Engagement
Bridal Shower, Shower Napkins, Napkins Cocktail, Napkins Beverage, Eucalyptus Greenery, Shower Decorations, Bridal Shower Favors, Bridal Party Table, Monogram Tableware, Wedding Shower, Bridal shower gift, custom napkins, Shower Decor Brunch",55,1067,19.4,22,$20.95,$461,35
"SumoSacks:Gift Bag - New Orleans Saints
Gift Bag, SumoSack, Sports, NFL, Football, New Orleans Saints",3238,1469,0.5,48,$8.50,$408,53
"KellyMaysLittleShop:Wedding Gift Wrapping Paper Roll, Bridal Shower Gift, Dusty Blue and champagne Gift Wrap
Going to the chapel, Wedding gift, Wedding toile, Wedding song, Wrapping paper roll, Couples Gift, Engagement gift, Gift for fiance, Gift for bride, Bridal shower gift, Gift wrap, Bride to be, Wrapping paper rolls",222,798,3.6,16,$24.72,$396,41
"UNCTarHeelPosh:Gift Wrap | UNC Chapel Hill | Great Day to be a Tar Heel | Alma Mater | Chapel Thrill | North Carolina | Graduation Gift | Carolina Blue
",527,1243,2.4,41,$8.33,$342,55
"LailaandLainey:Dr. Pepper Wrapping Paper, Dr Pepper Gift Wrap, Dr Pepper Gifts, Dr Pepper Girly Dr Pepper Coquette Dr Pepper Decor Dr. Pepper Lover
soda wrapping paper, coquette gift wrap, soda pop gift, soda paper, pepper gift wrap, drink gift wrap, gift for her, soda gift wrap, soda pop gift wrap, wrapping paper, coquette wrapping, dr pepper gift, dr pepper lover",67,727,10.9,16,$16.50,$264,82
"PhanXiCreations:Pokemon-World Gift Wrapping Paper
",148,860,5.8,21,$12.56,$264,36
"RiverReverie:Porsche-inspired Gift Wrap
Gift Wrap, Present Wrap, Wrapping Paper, Porsche Inspired, Car Lover, Unique Design, Gift Packaging, Special Occasion, Luxury Wrap, Unique Gift Wrap, Automobile Theme, Creative Gift Wrap, Car Enthusiast",134,609,4.5,20,$9.39,$188,30
"PackItWrapIt:250 Pack Navy Blue Gift Bags/Wedding Welcome Bags/8""x4""x10""
rose gold gift bags, rose gold wedding, copper gift bags, rose gold decor, rose gold paper, gift bag with handle, wedding gift bags, rose gold favor bags, wedding welcome bags, metallic gift bag, gold gift bags, bridesmaid bags, paper gift bags",3112,308,0.1,1,$176.00,$176,12
"MYBFFMONTHLYBOX:Girls care routine box, tweens monthly  box, girl subscription box, teen subscription box, teenager subscription box, tweens gift box, tween
teens fun boxes, teenage girl gifts, teen gift box, girls box, girls birthday gift, girls gift, girl unique gift, subscription box, girl unique items, coquette accessories, teenager gift, teenager box, heat free curler",234,388,1.7,7,$25.00,$175,4
"CrimsonandCloverGift:Happy Fucking Birthday Funny Gift Bag
gift bag, Funny Gift Bag, Sassy Gift Bag, Humorous Gift Wrap, funny gift wrap, Gag Gift, Sarcastic Gift Bag, adult humor, Rude Gift, snarky gift, swear word, unique gift",273,586,2.1,19,$8.00,$152,43
"BigBowStudio:Custom Giant Car Bow - Personalized Gift Bow for New Cars, Grand Openings, Special Events
custom car bow, giant gift bow, big car bow, new car gift, personalized bow, custom ribbon bow, birthday car bow, anniversary gift bow, graduation bow, holiday car bow, grand opening decor, dealership bow, extra large bow",61,338,5.5,3,$49.99,$150,5
"HausOfSue:Teacher Pencil Graduation Gift Card Holder Senior Gift
2022, teacher appreciation, gift card, high school, senior, graduation gift, grad, graduation, cardholder, haus of sue",1117,586,0.5,30,$4.75,$142,36
"Dreampartycreation:TIMELESS FLORAL Design Gift Grade Tissue Paper Sheets Choose Size & Package Amount
party, decoration, shred, basket, tissue paper, gift, MOTHER'S DAY, BIRTHDAY, SPRING, BAGS",1208,1120,0.9,57,$2.29,$131,105
"Dreampartycreation:REINDEER PINECOMB Design Print Gift Grade Tissue Paper Sheets Choose Size & Package Amount
party, decoration, shred, basket, tissue paper, gift, MOTHER'S DAY, BIRTHDAY, SPRING, BAGS, xmas, christmas",587,921,1.6,47,$2.75,$129,55
