Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"MentalHorizons:Trauma Therapy Worksheet Bundle, Trauma worksheets, PTSD Counseling Worksheet, Trauma Symptoms & Responses, Therapeutic Psychoeducation Tool
Trauma worksheet, trauma workbook, emdr worksheet, trauma, anxiety worksheet, trauma and the brain, PSTD, therapy tools, mental health, trauma therapy, cptsd, pstd worksheet, somatic healing",563,3516,6.2,116,$5.78,$670,232
"204TeesAndMore:Comfort Colors Occupational Therapy Shirt Gift, Occupational Therapist, OT Shirt for Women, Occupational Therapy Crewneck, OT Therapist Gift
Comfort Colors, occupational therapy, ot therapy shirt, ot therapist, therapist shirt, occupational, appreciation gift, COTA, COTA shirt, ot therapist gift, COTA gift, ot therapy gift, valentines day",124,1209,9.8,22,$27.00,$594,102
"FcDesignUS:Occupational Therapy Sweatshirt, Therapist Shirt, OT Crew Shirt, Gift for Therapist, Therapy Hoodie, OT Sweatshirt, OT Assistant Shirt
Therapist Gift, OT Assistant Shirt, Occupational Therapy, OT Therapist, mental health matter, rehabilitation tee, pediatric ot, COTA shirt, occupational tshirt, OT Crew Shirt, Gift for Therapist, Therapy Hoodie, OT Sweatshirt",137,1310,9.6,29,$19.00,$551,29
"ThisGirlsGotGame:Identity erosion therapy worksheets Therapist tools Shame Journal Self-Identity counseling worksheets CBT self-esteem workbook DBT EMDR
trauma response, inner critic, toxic shame, ifs therapy, parts work therapy, cbt activities, irrational thinking, Emotion Regulation, Self-Acceptance, Counseling Exercises, Psychology Worksheet, Self-Help Worksheets, Life Skills",294,1671,5.7,41,$13.00,$533,170
"WorkSheetOut:Growth Around Grief; Grief Therapy; Grief Therapist; Grief Therapy Tools; Grief Therapy Worksheet
therapy, grief therapy, grief therapist, grief therapy tools, therapy worksheet, therapy grief, grieving, grief and loss, coping with grief, grieving healing, mental health, hope, grief",336,4428,13.2,228,$2.23,$508,40
"TherapistPro:Goals for Therapy Measurable Objectives Interventions BUNDLE, Therapy Tools, Cheat Sheets, Ideal for Treatment Planning, Therapist Office
Goal setting, therapy goals, documentation, therapy notes, mental health, therapy tools, treatment plan, therapy planner, therapy office decor, smart goals, psychology, cheat sheet, therapist office",73,820,11.2,6,$75.00,$450,59
"WorkSheetOut:CBT Bundle; Cognitive Behavioral Therapy; CBT Worksheets; Cognitive Behavioral Therapy Tools; Cognitive Behavioral Therapy Worksheet
CBT, CBT therapy, cbt therapist, cbt worksheets, cbt tools, cbttherapy, cbttherapist, therapy, therapy worksheets, therapy cbt, therapist cbt, cbt therapy tools, cbt therapist tools",418,682,1.6,14,$23.23,$325,67
"TemplateLabs:IV Hydration Art, IV Therapy Poster, IV Infusion Poster, Iv Therapy Poster, Printable Wall Art, 3 sizes, Jpg files, Digital Download
IV Hydration Art, IV Therapy Poster, IV Infusion Poster, Printable Wall Art, 3 sizes, Jpg files, Digital Download, Iv Therapy, Poster, templatelabs, iv drip, iv nurse, iv hydration decor",801,1159,1.4,29,$10.80,$313,37
"MissPrintJoy:Personalized Speech Therapist Teacher Gift, Custom Speech Therapy Teacher Clipboard, SLP Clipboard With Teacher Name, Gift For SLP Teacher
Teacher Appreciation, Teacher Gift, Teacher Clipboard, SLP Clipboard, SLP Teacher Gift, Gift For SLP Teacher, New SLP Gift, Speech Pathologist, SLP Teacher Name, Speech Therapy, Gift For Teacher, Custom Teacher Name, Proud To Be SLP",38,914,24.1,22,$13.99,$308,62
"CounsellorCronan:Kids Therapy Bundle. Life skills. Emotional Resiliency. Therapy Resources. Self-Care. ADHD planner, impulse control. CBT Tools. Psychology
master resell, plr digital download, emotional regulation, kids feelings, emotions chart, behavior chart, behavior management, parenting planner, adhd journal, therapy cards kids, counseling tools, calming corner, calm down kit",133,637,4.8,14,$19.17,$268,52
