Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"TheHeartGiftsCo:Personalized Warrior Journal: Cancer Survivor Gift, Sobriety Anniversary Keepsake, Encouragement and Strength Journal
Personalized Journal, Custom Notebook, cancer survivor gift, strength keepsake, encouragement gift, motivation gift, breast cancer gift, warrior gift for her, cancer recovery gift, inspirational gift, Sobriety Anniversary, Surgery Recovery, Thinking of You",96,71,0.7,1,$34.06,$34,0
"MerchByAnubhuti:Principal retirement gift Personalized Leather Journal, Principal Definition Gift, Principal Appreciation Gift, Teacher Thank You Gift
gift for principal, principal day, principal definition, principal gift, principal journal, principal notebook, principal thank you, Appreciation gift, Gift for teacher, Leather journal gift, Christmas gift, Personalized diary, School principal",331,201,0.6,2,$44.95,$90,8
"OhSoCharmedShop:Motivational Journal | Vegan Leather | Journey Quote | Affirmations | New You | Your Thoughts and Moods | Who You Are
refillable, customized journal, travel journal, bridal party gift, gift for writers, notebook, scripture, journal, leather, literature, personalized, quotes, new life",58,34,0.6,0,$29.95,$0,2
"HolyHarvestPrints:To My Daughter Personalized Leather Journal, Graduation Gift for Daughter, Weeding Gift for Daughter|Unique Daughter Birthday/Christmas Gift
mother daughter gift, gift from mom, gifts for daughter, to my daughter, daughter journal, graduation gift, daughter gifts, daughter notebook, daughter birthday, daughter diary, daughter keepsake, dad to daughter, daughter christmas",264,134,0.5,1,$58.09,$58,3
"MuskAndCo:Funny Teacher Journal - Things You Can’t Unhear, Thank You Gift for Teacher, End of Year Teacher Appreciation, Keepsake Journal, Christmas
funny teacher gift, teacher notebook, teacher gift, teacher appreciation, gift for teacher, teacher journal, best teacher gift, teacher christmas, personalized gift, funny things my, elementary teacher, students say journal, end of year gifts",144,71,0.5,0,$49.97,$0,5
"OhSoCharmedShop:Definition of a Mother Journal – Sentimental Mom Gift – Mother’s Day Notebook – Thoughtful Gift for Mom – Personalized Keepsake Journal
mom journal, presents for mom, sentimental gift mom, keepsake journal, memory journals, birthday gift mom, christmas mom, mom birthday, mom day gift, small gifts for mom, gift for mom, mothers day, mothers day gift",36,17,0.5,0,$29.95,$0,0
"HeshimaJewels:To My Daughter Personalized Leather Journal, Unique Gifts for Daughter, Daughter Gifts for Christmas, Custom Journal Notebook
letters to daughter, personalized journal, gift for daughter, to my daughter, daughter journal, custom notebook, daughter gift, personalized gift, custom journal, journal, leather journal, gift for her, notebook",513,209,0.4,3,$29.95,$90,6
"SassyMusketeers:Personalized Graphic Leather Journal for Dad and Daughter, Custom Memory and Story Notebook - Perfect Father's Day Gift, To Pass Between
Personalized Journal, Custom Engraved, Leather Diary, Custom Gift, Dad's Journal, Memory Book, Story Notebook, Father's Gift, Dad's Stories, Keepsake Journal, Engraved Leather, Memory Journal, Father's Day Gift",321,140,0.4,1,$49.95,$50,1
"CelebratingLifeGifts:Pastors Wife Appreciation Gift, Personalized Journal Lady Preacher Notebook, Church Anniversary, Religious Women, Mothers Day Gift Christian
personalized journal, women christian, pastor gift, appreciation gift, retirement pastor, lady preacher gift, preacher gifts, church anniversary, minister wife, woman minister, Mothers Day Poem, birthday gift, Gift First Lady",110,33,0.3,0,$29.99,$0,0
"TheGiftHausCompany:Personalized Pastor Journal, Gift for Pastor, Religious Gift, Prayer Notebook, Daily Journal For Pastor, Christian Gift, Prayer Notes
gift for pastor, prayer journal, christian gifts, pastor appreciation, christian journal, christian notebook, officiant gift, religious gift, faith journal, minister gift, preacher gift, best pastor journal, thank you pastor",107,28,0.3,0,$39.95,$0,1
